Category,Content
Middle East,fattah iran unveils first hypersonic missileiran say fattah penetrate missile defence system due high manoeuvrability speedtehran iran iran unveiled firstever hypersonic missile fattah say penetrate missile defence system give military edgestate medium tuesday published image unveiling ceremony attended president ebrahim raisi senior commander islamic revolutionary guard corp irgc domestically made black missile visiblestate medium said missile move speed mach 15 5145 metre 16880 foot per second range 1400km 870 mile feature moveable secondary nozzle employ solid propellant allow high manoeuvrabilitysupreme leader ayatollah ali khamenei chosen name said roughly translates openerhypersonic missile move five time speed sound greater manoeuvrable making difficult defence system radar targetthe united state russia china north korea believed country successfully tested hypersonic missile exact detail weaponry remain scantthe domesticallydeveloped hypersonic missile fattah iran irgcs recent achievement unveiled tuesday morning june 6 presence president ebrahim raisi pictwittercomwzwutrr3ez irna news agency irnaenglish june 6 2023irgc aerospace chief amir ali hajizadeh announced news development hypersonic missile last november event marking anniversary death hassan tehrani moghaddam known father iranian missile technologymoghaddam died explosion missile base 2011 also killed dozen irgc member explosion reported accident western medium reported israel behind itin november hajizadeh said new missile represents generational leap iranian missile technology manoeuvre within outside earth atmosphere penetrate missile defence systemthe fattah cannot destroyed missile due move different direction different altitude quoted saying tuesdaythe west israel repeatedly expressed concern iran missile programme saying country ballistic missile could potentially used carry nuclear warhead something tehran denies pursuingthe irgc last month successfully tested new ballistic missile range 2000km 1240 mile earned criticism west france claiming violated united nation resolution underpins country comatose 2015 nuclear deal world power
Middle East,erdogans reelection mean turkeygulf relationseconomic defence deal along turkish president personal tie regional leader boost relationspresident recep tayyip erdogans victory turkey unprecedented runoff may 28 welcomed official gulf cooperation council gcc would bring sense continuity strengthen relation ankara bloc well six membersqatars emir sheikh tamim bin hamad al thani first foreign head state congratulate erdogan taken office third presidential term gulf leader quickly followed suit expressing desire bolster tie turkeyerdogan 69 whose twodecade rule extended another five year expected visit gulf soon reflection important gcc member turkey foreign policy agendabetween 2028 gcc state expect business usual dealing ankaraturkeys strong alliance qatar likely continue deepen erdogan also look expand relation saudi arabia united arab emirate uae ankara rapprochement riyadh abu dhabi continues gain speedit likely turkishgulf relation continue personalised nature past two decade sinem cengiz researcher qatar university arab news columnist told al jazeera n therefore next five year erdogans tenure likely bring continuation personality cooperation range areaserdogans reelection relief many gulf official challenger kemal kilicdaroglu would likely changed turkey foreign policy towards gcc way could undermined interest qatar particular reason fear downgrading relationship ankara kilicdaroglu wonthe opposition candidate convinced erdogan struck certain offtherecord deal gulf capital thus espoused gulfsceptic view regularly batu coskun sadeq institute told al jazeeraankara continue placing much value economic political security tie wealthy gcc country important turkey trade defence marketscloser emiratiturkish economic link also provide two country two middle east largest economy opportunity unlock vast amount investment help economy growa day erdogan secured another term turkey uae ratified cooperation agreement aim increase bilateral trade 40bn next five year thani ahmed alzeyoudi uaes minister state foreign trade tweeted deal mark new era cooperation longstanding friendship n negotiation deal started 2021 uae crown prince sheikh mohamed bin zayed al nahyan visited ankara paving way thaw relation year tensionthe prospect hard cash gulf continue major incentive ankara facing persistent currency crisis said coskunturkey present financial business hub gulf investor invest diverse sector explained cengiz assume investment turkey could one area may see competition among gcc state namely saudi arabia uaefor gulf arab state deeper tie turkey important economic diversification agenda across host sector entertainment tourism food production turkish company play important role helping gcc state transition away dependency hydrocarbonsturkish firm especially construction sector long penetrated gulf market contributed growth megaprojects airport highway stadium highrises recently group executive representing roughly 80 turkish building company met saudi aramco ankara discussion 50bn potential project saudi arabiathere also defence sector developing indigenous defence industry significant pillar saudi arabia vision 2030 strategyturkeys burgeoning defence industry could integrated saudi vision 2030 according coskun could materialise form joint production technology transfer training programme major investment could see turkish defence industry production leg saudi arabiaan important issue turkeygcc relation syria damascus regained fullfledged membership arab league last month following 11 year diplomatic wilderness ankara also seeking reconcile president bashar alassads governmentbut one factor make ankaradamascus normalisation deal tricky status people protection unit ypg northern syria turkey want security guarantee regarding ypg considers syrian wing pkk turkey u eu recognise pkk terrorist organisationriyadh abu dhabi encouraging alassads government accept ypgdominated syrian democratic force sdf damascus sovereign control part force integration syrian state sense gulf capital especially abu dhabi could add gulf track existing moscow track used facilitate turkishsyrian talk said coskunthere important question possible future tie ankara damascus could affect turkeyunited state alliance given washington want see ally partner middle east north africa recognise alassad legitimate arab president washington likely welcome ankara reopening formal tie syrian governmentwithin context turkey may benefit certain gcc state rehabilitating alassads image first making less controversial west perspective ankara reconcile syriacoskun told al jazeera ankara seek deflect pressure u normalising alassad arguing regional consensus assads return global stagerelations among country middle east north africa evolved great deal since 2020 long ago saudi arabia even uae negative term turkey conflicting interest regarding host crisis postarab spring period egypt libya tunisia well 20172021 blockade qatar caused friction ankara one side saudiuae axis otheryet since 2020 turkey relationship riyadh abu dhabi markedly improvederdogan starting new chapter opposite approximately 10 year ago arab spring started said dania thafer executive director gulf international forumnow similar gcc state ankara strategy pragmatic economic development main imperative rather politics led ideologyin last term rebuilt relation saudi arabia uae continue path turkey likely sign several agreement commerce defence security uae saudi arabia among gcc statesfrom political perspective rebuilding relation turkey alternative approach counterbalancing iranian influence regionduring erdogans next five year expert argue every reason expect rapprochement gain even greater momentum particular turkish drone sale two gcc member strengthen relationship began mend year agoankaraabu dhabi tie appear course continue expanding said coskun recent mutual ratification turkeyuae comprehensive partnership agreement clear indication uae also made significant purchase bayraktar tb2 uavs last year likely abu dhabi become major market turkish defence industry exportscoskun added prospect true saudi arabia yet yet see sale tb2s riyadh given qatar uae recently kuwait made agreement purchase famed uavs saudi arabia appears likely candidate new period likely see robust relation ankara riyadh particularly based defence industry n
Middle East,kuwait vote parliamentary poll hope ending deadlockpolls opened 8am result announced wednesdayvoters kuwait started cast ballot seventh legislative election decade following repeated political crisis undermined parliament stalled reformspolling began 8am 0500 gmt tuesday continue till 8pm 1700 gmt result announced wednesday official kuwait news agency saidmore 793000 eligible voter chance determine makeup 50seat legislature gulf arab state elected parliament power hold government accounta total 207 candidate running fouryear term lawmaker lowest number general election since 1996 include opposition figure 13 womenkuwaits emir nawaf alahmad alsabah called vote last month dissolved parliament amid persistent political deadlockconstant standoff branch government prevented lawmaker passing economic reform repeated budget deficit low foreign investment added air gloombickering recently focused around controversial bill proposes government take consumer personal loan kuwaiti citizen government say move would expensive costing almost 46bn public fund mp argued would cost significantly less 65bnthe ongoing rift elected lawmaker appointed cabinet resulted decay social service like healthcare educationlack stability also scared investor kuwait petroleum industry account seven percent world crude reservesdespite widespread frustration political elite human right activist hadeel buqrais said still important cast ballotthis place voice boycotting mean giving right citizen told afp ahead election dayi participate even expect new parliament tackle issue concerning country right record buqrais saidwhile lawmaker elected kuwait cabinet member installed ruling alsabah family maintains strong grip political lifein march constitutional court nullified result last year election opposition made significant gain ruled previous parliament elected 2020 reinstated insteadsince kuwait adopted parliamentary system 1962 legislature dissolved around dozen time n
Middle East,u report abu akleh killing must made public senator urgeschris van hollen say though u conduct independent investigation government report provides important insightswashington dc united state senator called president joe bidens administration make public government report killing al jazeera journalist shireen abu aklehdemocrat chris van hollen said monday reviewed report u security coordinator israel palestinian authority ussc week requested state departmentbut van hollen said want declassified entiretyi strongly believe public release vital ensuring transparency accountability shooting death american citizen journalist shireen abu akleh avoiding future preventable wrongful death goal support senator said statementabu akleh veteran palestinianamerican correspondent killed may 11 2022 covering israeli raid jenin city occupied west bank n first israeli official falsely accused palestinian gunman fatally shooting abu akleh acknowledging month later likely killed israeli soldierstill israel dismissed incident unintentional opened criminal probe killing prompting call u staunch israeli ally conduct investigation seek accountability casevan hollen said monday ussc oversees encourages security coordination israeli palestinian official granted access key witness unable conduct independent investigation killingstill senator said report provides important insight incident including israeli unit involved operation led abu aklehs death well israeli military unit operating west bankthe report described summation document investigation incidentin july 2022 state department cited initial ussc summary probe conducted israel palestinian authority pa said israeli gunfire likely responsible abu aklehs death though found reason believe shooting intentionalthe assessment angered palestinian right supporter noted u authority interview witness ignored pa conclusion shooting deliberatethe ussc report van hollen said monday reviewed believed thorough accounting u government finding specific detail report including finalised includes remain unclearwitnesses video footage investigation numerous medium outlet concluded fighting immediate vicinity abu akleh full press gear fatally shotin month since van hollen american legislator called u probe incidentlate last year israeli u medium outlet reported fbi investigating killing u authority including justice state department refused confirm deny existence purported probe n u official initially called accountability case including prosecuting abu aklehs killer fullest extent lawweeks shooting secretary state antony blinken also said washington looking independent investigation killingbut washington appeared drop demand last year instead state department say seeking accountability calling israel review military rule engagement demand israeli leader openly rejectedin aftermath death shireen abu akleh secretary blinken asked government israel review military rule engagement west bank rebuffed review remains necessary van hollen said monday statementlast month first anniversary abu aklehs killing al jazeera journalist family met lawmaker washington dc renew call justiceits biden administration hasnt done anything achieve justice shireen actively working block form accountability congresswoman rashida tlaib told reporter timeif administration actually wanted help would launch full state department investigation whether u weapon used commit war crime human right violation
Middle East,israel bombed gaza house turning antique collection dustgaza man visit home destroyed israeli bombing hope retrieving antique collection dating back hundred yearsgaza city since house destroyed israeli bombing may 12 hazem mohanna still come every day searching rubble find treasured antique collectionthe 62yearold spent 40 year life collecting antique silver coin precious stone piece related palestinian heritage part hobby fourstorey house alsahaba neighbourhood east gaza city mohanna say turned unique archaeological museumon may 12 third day latest israeli military assault gaza mohanna received call israeli intelligence sitting family gave five minute vacate house told al jazeerai shocked wife married child child immediately ran fourstory building father four saidi able save family could save belonging spent life collecting taking care said visibly sad faceisrael bombed hundred house gaza past several assault giving resident anywhere hour minute notice vacate attracting criticism human right organisationsisrael bombed 11storey building housing al jazeeras news office may 2021 giving notice barely one hour 250 palestinian killed 11 day relentless israeli bombingsmy antique collection meant lot many precious piece date back hundred year said mohanna retired palestinian authority security officerthere identification document many country piece related palestinian heritage embroidered clothes baggage copper artifact saidthere thing memory cannot compensated amount money due attachment wish child would inherit small archaeological museum israeli occupation pursues everything even memory hobbiesthe antique collector still cannot find reason justification bombing house mere civilian said mohanna life small twobedroom rented apartment 16member family including four married childrenhe worried reconstruction house along hundred others least 20 building total 56 housing unit completely destroyed 940 housing unit damaged israeli military escalation according ministry public worksso far nobody contacted compensation even pay apartment rent mohanna said house destroyed previous israeli offensive rebuilt yet turn comesabah abu khater 60 said latest israeli military escalation took joy away son month half away getting marriedon afternoon may 11 family 10 watching news home beit hanoun northern gaza strip received phone call ordering evacuate house going bombedisrael justified bombing civilian home saying used armed group claim refuted palestiniansi heard neighbour shouting get house bombed khater saidwe left house immediately child wife grandchild rushed street clothes wearing said searching belonging rubble twostorey housewe arranged son bride price preparing complete engagement situation would calm back square one khater said referring amount groom pay bride time wedding per islamic lawsi feel sad heartbroken son spent lot money effort collect dowry build house saidpeople gaza enough war misfortuneskhaters 26yearold son bilal abu khater sitting frustrated rubble family house recounted painstakingly collected bride dowry prepared modest house marriagei forced work overtime low wage exceeding 20 shekel per day maybe less equivalent four dollar addition assistance provided uncle relative abroad saidtoday forced work help build new house well bear expense family become homeless said bilal abu khateryoung people gaza strip suffer difficult living condition due lack job opportunity ongoing blockade said referring land air sea blockade palestinian enclave imposed israel since 2007wars bilal abu khater say come make matter worseit took year build house take long rebuild said broken tone thanking god family safe money compensates important thing none u hurtisraeli warplane targeted home apartment throughout gaza strip part israeli military assault began may 9 said bombing directed towards islamic jihad movement palestinian right organisation said mostly civilian killed fiveday assault palestinian faction launched rocket israel killing one israeli personby time egyptmediated ceasefire came effect may 12 least 33 palestinian including six child killed 190 wounded economic loss estimated 5m
Middle East,saudi arabia privatises football club eye bigname signingssaudi arabia aim increase revenue football league bring top 10 worldsaudi arabia sovereign wealth fund take control four kingdom top football club including al nassr cristiano ronaldo play government revives plan privatise several stateowned sport clubsthe public investment fund pif 75 percent al ittihad al ahli al nassr al hilal sport ministry said twitter monday following report state news agency spa saudi arabia privatise several sport club fourth quarterall topflight saudi professional league except al ahli secondtier saudi first division pif previously taken several company privatising though often partiallyunlike premier league european team saudi club bound uefas rule spending meaning limit salary pif offer lure top player middle eastsports one pillar government vision 2030 economic diversification plan seek build new industry create job pif centre schemethe privatisation plan mainly focused football club launched saudi crown prince mohammed bin salman allows company development agency invest take club spa reportedas part today announcement sport club investment privatization project four saudi club al ittihad al ahli al nassr al hilal transformed company owned pif nonprofit foundation club pictwittercomtnzcbiniue public investment fund pif_en june 5 2023the kingdom aim revenue saudi professional league increase 18 billion riyal 480 million annually 2030 450 million riyal 120 million expects market value rise 8 billion riyal 21 billion period spa addedthe sport ministry said second division football club alsuqoor turned company owned neom behind kingdom project build futuristic city desertsaudi oil giant aramco saudi first division club alqadsiah third division side alula fc owned royal commission alula first division club aldiraiyah fc controlled diriyah gate development authoritymeanwhile kingdom poured money raising football standing pif led consortium buy premier league side newcastle united october 2021the league also attracted sport decorated player notably portuguese great ronaldo joined al nassr end last year n last month source close argentina captain lionel messi ronaldos rival title best player generation told reuters received formal offer join al hilal next seasonmondays initiative made clear growing list top player could soon get lucrative offer join ronaldo middle eastthe saudi pro league supported ambition amongst top 10 league world spa saidfrench striker karim benzema reportedly slated join former longtime real madrid teammate ronaldo saudi league move expected confirmed week played emotional farewell game sunday 14 year 14time european championmessi played last game paris saintgermain saturday weighing offer saudi arabia inter miami major league soccerhowever report spanish medium say favour potential return barcelona spent 16 year reluctantly leaving financially troubled club psg 2021 n
Middle East,fossil fuel phaseout make onto un climate agendaunited nation climate chief say rapid end burning coal oil natural gas urgently needed topic may even reach crucial cop28 negotiationsthe world need phase fossil fuel want curb devastating global warming united nation climate chief say idea might even make onto agenda makeorbreak negotiationsthe phaseout heattrapping fossil fuel something top every discussion discussion taking place un climate change executive secretary simon stiell saidit issue global attention translates agenda item climate talk outcome seestiell said could quite promise ending use coal oil natural gas would get spot agenda climate talk called cop28 dubai united arab emirate later yearthat agenda decision president negotiation sultan al jaber head stateowned abu dhabi national oil company stiell saidthe decision host nation uae make al jaber head climate conference drawn fierce opposition lawmaker europe united state well environmental advocate uae official said want gamechanging result climate talk note al jaber also run large renewable energy companylast year climate talk proposal india phase fossil fuel supported u many european nation never got agenda get discussed decided cop president last year foreign minister egypt natural gas exporting nationwhen asked egypt leader kept concept agenda stiell speaking via zoom bonn germany preliminary talk started monday said could comment except say within purview n engineerturnedgovernmentofficial diplomat stiell walked fine line talking importance fossil fuel phaseout supporting un process put country export oil natural gas charge negotiation global warming two consecutive yearsabout 94 percent heattrapping carbon dioxide human industrial activity put air last year burning coal oil natural gas according scientist monitor emission global carbon projectal jabers company capacity produce 2 million barrel oil 7 billion cubic foot natural gas day said plan increase drilling 5 million barrel day 2027getting fossil fuel phase agenda year depends conference president al jaber whether enough pressure nation stiell saidwhere better discussion region fossil fuel centre economy stiell askeda senior uae official said gulf nation want un climate summit hosting november 30december 12 deliver gamechanging resultsour leadership clear team president dont want another cop thats incremental said majid alsuwaidi directorgeneral summit play key role diplomatic negotiationsthey want cop going deliver real big gamechanging result see like u track achieve goal paris agreement n issue coal oil natural gas phaseout central fight climate change real issue getting something done putting cop28 agenda stiell saidin public appearance al jaber emphasised laserfocused phasing fossil fuel emission necessarily fuel promoting carbon capture removal pollutant airstiell dismissed idea carbon removal shortterm solutionright critical decade action achieve deep reduction science tell u achieved reduced use significantly reduced use fossil fuel saidstiell defended backtoback year climate negotiation run fossil fuelexporting nation wish party country involvedthis year critical first global stocktake see world effort reduce carbon emission reach paris agreement goal limiting warming 15 degree celsius 27 degree fahrenheit since preindustrial time greenhouse gas pollution need cut half 2030we know long way need stiell saidthis year conference set new round pledge even tighter emission cut telling nation stark truth bad situation stiell saidbut ignorance dire threat planet problem addedits lack implementation dont believe lack knowledge there report report report say thing increasing urgency stiell said n
Middle East,u committed saudiisraeli normalisation blinken tell aipacantony blinken tell lobby group tie israel saudi arabia national security interest uswashington dc united state committed brokering formal diplomatic relation israel saudi arabia secretary state antony blinken said president joe bidens administration continues israel normalisation pushspeaking conference american israel public affair committee aipac influential proisrael lobby group u blinken said monday washington real national security interest promoting normalisation two countrieswe believe indeed must play integral role advancing saidblinken visit saudi arabia week acknowledged deal may finalised easily remain committed working toward outcome including trip im take week jeddah riyadh addedthe top u diplomat comment come amid apparent regional realignment iran saudi arabia agreed reestablish diplomatic tie move expected reduce tension across middle eastfew arab state recognised israel key u ally region since establishment 1948 former u president donald trump administration helped secure agreement establish relation israel united arab emirate bahrain morocco 2020sudan also agreed join normalisation deal known abraham accordsreporting white house monday al jazeeras kimberly halkett said known u pushing saudi arabia israel establish diplomatic tie significant blinken explicitly called drive national security interestand result u see absolutely critical advancing integration israel region said n israeli official calling normalisation deal would help break country regional isolation independent conflict palestiniansthis year israeli prime minister benjamin netanyahu said israel seeking formal relation saudi arabia could giant leap towards ending arabisraeli conflictfor part saudi official said riyadh sticking arab peace initiative condition normalisation israel withdrawal arab territory establishment palestinian state well finding fair solution plight palestinian refugeeson monday blinken heaped praise israel telling aipac crowd u commitment country security nonnegotiable secretary state also renewed promise biden administration never allow iran obtain nuclear weaponwe continue believe diplomacy best way verifiably effectively sustainably prevent iran getting nuclear weapon parallel economic pressure deterrence reinforce diplomacy saidindirect talk washington tehran revive 2015 nuclear deal saw iran scale back nuclear programme exchange lifting sanction economy broken recent monthsisrael aipac fierce opponent agreement trump withdrew unilaterally 2018efforts restore pact known joint comprehensive plan action jcpoa complicated crackdown antigovernment protest iran washington allegation tehran supplied russia drone moscow using ukraineiran denies seeking nuclear weapon israel widely believed undeclared nuclear arsenal monday blinken said tehran reject path diplomacy option table make sure country obtain weapon n blinken also reasserted washington support twostate solution end israelipalestinian conflict admitted prospect outcome feel remotewe committed working partner party least maintain horizon hope saidblinken appeared criticise israeli policy towards palestinian israel prominent right group accuse imposing apartheid palestinian receives 38bn unconditional u aid annuallysettlement expansion clearly present obstacle horizon hope see likewise move toward annexation west bank de facto de jure disruption historic status quo holy site continuing demolition home eviction family lived home generation damage prospect two state blinken saidthe biden administration staunchly supportive israel crack appeared relationship election netanyahu farright government late last yearon monday blinken weighed albeit explicitly israeli government judicial overhaul plan netanyahus critic say would undermine country court could lead authoritarianism proposal put hold amid domestic protest u criticismwell continue express support core democratic principle including separation power check balance equal administration justice citizen israel said blinken calling consensus reform n blinken ended speech monday lauding expressing gratitude aipac spent million dollar defeat progressive democrat u election last yearthe organisation progressive activist accused hate group also faced criticism endorsing rightwing american lawmaker pushed overturn bidens 2020 election victorymoreover aipac regularly attack muslimamerican congresswoman rashida tlaib ilhan omar compared isil isi sparking accusation islamophobiaaipac continues one major purveyor islamophobic antiarab hate united state palestinianamerican comedian activist amer zahr told al jazeera criticising blinken addressing lobbying group conferencefrom inception unwavering support israel apartheid policy served heaping spoon racist trope palestinian arab muslim zahr saidno one belief equality justice ever speaking aipac conference
Middle East,iran reopen embassy saudi arabia seven yearsthe move come accordance chinabrokered agreement tehran riyadhtehran iran iran confirmed reopen embassy saudi arabia week seven year closed due diplomatic riftin short statement monday iranian foreign ministry spokesman nasser kanani said tehran embassy riyadh reopened tuesday followed reopening consulate jeddah representative office organisation islamic cooperation day laterhe said embassy consulate already started operating facilitate pilgrimage hajj officially reopened presence two country foreign ministry officialsthe move come accordance chinabrokered agreement iran saudi arabia signed beijing march 10 set deadline two month reopen embassiesiranian authority since said embassy begun carrying practical work needed time officially reopen building closed yearsthere still official confirmation saudi embassy tehran kingdom consulate mashhad officially reopen ambassador betehran selected alireza enayati former envoy kuwait foreign ministry deputy regional affair envoy riyadh iranian statelinked medium reported last monthriyadh cut diplomatic relation tehran 2016 representative office stormed demonstration protest execution shia religious leader sunnimajority kingdomthe two regional powerhouse steadily reducing tension recent month something said help bolster security across regionsince agreement march country region also followed saudi arabia lead towards normalising relation syria president bashar alassad ostracised bloody crackdown 2011 protest resulted decadelong civil warsaudi arabia also increasingly engaged iranaligned houthis yemen riyadh tehran backed opposing side country civil war since 2015 n
Middle East,reported mahsa aminis death theyre trialtrials begin iranian journalist arrested covering death woman police custodyin iran kasra hospital parent 22yearold mahsa amini embraced hallway grieving daughter died detained morality police journalist niloofar hamedi captured moment photo tweeted within week arrested week later journalist elaheh mohammadi also arrested reporting aminis funeral iran erupted protest aminis death demonstrator met swift crackdown thousand people arrested including hamedi mohammadi remain imprisoned day may 29 30 trial finally began behind closed door happen journalist whose reporting helped spark uprisingin episode episode creditsthis episode produced david enders negin owliaei chloe k li host malika bilal khaled soltan factchecked episodeour sound designer alex roldan tim st clair mixed episodeour lead audience development engagement aya elmileik munera al dosari adam abougad engagement producersalexandra locke take executive producer ney alvarez al jazeeras head audioconnect usajepodcasts twitter instagram facebook
